Verified,Code,Game,link,Description,Recommended time,Num players,Video/image,Tips,Discord
,REMRR,Hide and seek,,"Seekers have flight, radar, and collision abilities",8 mins,At least 2,,,
,BHQ6G,12 hogs 1 hole,,Hook insanity,5 mins,At least 2,,"Or 12 knives 1 hole D12Q0, or 10 heros SE9M8",
,GMW2N,Mirrored mystery deathmatch,,,8 mins,2 - 12,,,
,Arcade,3v3 lockout elimination,,,12 mins,"6, 8",,,
,Arcade,Capture the flag blitz,,,8 mins,At least 6,,,
,Arcade,No limits,,,14 mins,At least 6,,,
,RSVCJ,Freezethaw elimination,https://workshop.codes/RSVCJ,"Frozen on death, can unthaw teammates",5 mins,At least 4,,,
,GY1MN,Team gun game,,,10 mins,At least 4,,,
,6HH60,Bastion fishing,,Gotta catch 'em all,15 mins,Any,,,
,ZE1YV,Flappy mercy,,flap the furthest,4 mins,Any,,,
,SROT1,COD zombies ,https://workshop.codes/SROT1,,18 mins,,,,
,XPwon,Torbjorn pong,,,4 mins,2,,,
,WKJ5E,COD deathmatch,https://workshop.codes/WKJ5E,With killstreak rewards,6 mins,At least 2,,,
,WSX9K,Avatar pro bending,https://workshop.codes/WSX9K,"Arena, use abilities of your element",10 mins,2 - 6,https://www.youtube.com/watch?v=DMIbcQoE2oM,"Criteria	Genji	Hanzo	Kiriko
Color	Green	Blue	Red
Element	Earth	Water	Fire
Projectile Speed	Slow	Medium	Fast
Knockback	Hard	Medium	Soft
Characters can check abilities during the match with interact button. Each character has a primary attack, secondary/special, 2 abilities, and a passive.

Secondary and abilities require and consume Bending Stamina which is gained over time.

Ability	Genji	Hanzo	Kiriko
Primary	Throw Rock	Throw Water	Throw Fire 3x
Secondary	Block	Bubble	Flamethrower
Ability 1	Stomp	Water Fan	Dodge Left
Ability 2	Volley	Water Stream	Dodge Right
Passive	Knock Down Foes Hit, Walking Curves Rock In Direction	Damaging Foes Grants Phased Out	Jump High, Damaging Foes Slows Foes",
,22FJJ,Uno,,,6 mins,At least 2,,,
,5FMZW,Battle Royal,https://workshop.codes/5FMZW,"Complicated, check website",,1-6,https://www.youtube.com/watch?v=iwV5hq50ey8,,
,14WON,Bed wars,https://workshop.codes/14won,"Base fights, FFA",10 mins,At least 2,,Team mode on PFW5F,
,FPXP3,Snipers 1v1,https://workshop.codes/FPXP3,Can be set to more than 1v1,,Any,,,
,AJEG5,Lucio Volleyball,,,5 mins,At least 2,,,
,7HMMT,Murder Mystery,https://workshop.codes/7HMMT,,20 mins,At least 6,https://cdn.workshop.codes/kbb2qjsosp8h83alul2mau1bf221,,
,0TGRD,Connect Four,,,5 mins,2,,,
,RRBPY,Bouncy Castle FFA,,,3 mins,At least 2,https://www.youtube.com/watch?v=-BfLk0j2YG0,,
,Ask Osher,Mercy Parkour,,,,Any,,,
,KVKKR,Lucio Surf,,,8 mins,Any,,,
,X8080,"Moira Parkour, Pioneer",https://workshop.codes/X8080,Pioneer,,Any,,,
,3VE5T,Doomfist Parkour,,,20 mins,Any,,,
,B1ED1,Genji Parkour,,Circuit Royal,10 mins,Any,,,
,1PNQ2,Juno Parkour,,,8 mins,Any,,,
,SH9G9,Ana Parkour,,,9 mins,Any,,,
,BY6SK,Venture Parkour,,,6 mins,Any,,,
,OTB1D,Kiriko Parkour,,,9 mins,Any,,,
,CAGGT,Ball Parkour,,,8 mins,Any,,,
,BAAFZ,Widow Parkour,,Hookshots!,7 mins,Any,,https://docs.google.com/spreadsheets/d/1KWfk6YVsgbg9BxX1UGL2EA1qszLxAQcoYczq-rBADV8/edit?gid=0#gid=0,
,YKYBV,Quidditch Parkour,https://workshop.codes/YKYBV,,5 mins,Any,https://www.youtube.com/watch?v=3CFAax3CHrQ,,
,3DBW9,Co-op Parkour,https://workshop.codes/3DBW9,Survasa,10 mins,2,,Try EK1D5 for junkertown,
,34ZYZ,Mercy training range,,,6 mins,Any,,,
